data_acidente,tipo_via,dia_acidente,mes_acidente,ano_acidente,ano_e_mes,dia_da_semana,hora_acidente,turno,municipio,regiao_administrativa,logradouro,numero_KM,jurisdicao,administracao,conservacao,LAT_(GEO),LONG_(GEO),outro_veiculo_envolvido,veiculo_vitima,tipo_acidente,fatal
31.12.20,NAO DISPONIVEL,31,DEZEMBRO,2020,2020.12,QUINTA,04:30:00,MADRUGADA,SAO PAULO,Metropolitana de SAO Paulo,NAO DISPONIVEL,NAO DISPONIVEL,NAO DISPONIVEL,NAO DISPONIVEL,NAO DISPONIVEL,NAO DISPONIVEL,NAO DISPONIVEL,,MOTOCICLETA,OUTROS,1
31.12.20,Vias Municipais,31,DEZEMBRO,2020,2020.12,QUINTA,02:10:00,MADRUGADA,SAO PAULO,Metropolitana de SAO Paulo,RUA DA CONSOLACAO,"2333,0",MUNICIPAL,PREFEITURA,PREFEITURA,"-23,555,017,832,422,400","-4,666,174,107,833,110",,PEDESTRE,ATROPELAMENTO,1
30.12.20,Vias Municipais,30,DEZEMBRO,2020,2020.12,QUARTA,19:40:00,NOITE,SAO PAULO,Metropolitana de SAO Paulo,RUA TABATINGUERA,"21,0",MUNICIPAL,PREFEITURA,PREFEITURA,"-2,355,228,153,170,900","-4,663,277,060,000,000",AUTOMOVEL,PEDESTRE,ATROPELAMENTO,1
29.12.20,Vias Municipais,29,DEZEMBRO,2020,2020.12,TERCA,13:45:00,TARDE,SAO PAULO,Metropolitana de SAO Paulo,AVENIDA DONA BELMIRA MARIN,"2080,0",MUNICIPAL,PREFEITURA,PREFEITURA,-2.37469E+14,-4.66879E+14,AUTOMOVEL,MOTOCICLETA,COLISAO,1
29.12.20,Vias Municipais,29,DEZEMBRO,2020,2020.12,TERCA,04:45:00,MADRUGADA,SAO PAULO,Metropolitana de SAO Paulo,AVENIDA WASHINGTON LUIS,"7023,0",MUNICIPAL,PREFEITURA,PREFEITURA,-23619763969,-4.66621E+14,MOTOCICLETA,PEDESTRE,ATROPELAMENTO,1
28.12.20,Rodovias,28,DEZEMBRO,2020,2020.12,SEGUNDA,19:00:00,NOITE,SAO PAULO,Metropolitana de SAO Paulo,BR 381,"85,0",FEDERAL,CONCESSION\'c1RIA-ANTT,AUTOPISTA FERN\'c3O DIAS,"-2,345,775,816,289,000","-4,657,131,495,358,730",AUTOMOVEL,PEDESTRE,ATROPELAMENTO,1
28.12.20,Rodovias,28,DEZEMBRO,2020,2020.12,SEGUNDA,19:00:00,NOITE,SAO PAULO,Metropolitana de SAO Paulo,BR 381,"85,0",FEDERAL,CONCESSION\'c1RIA-ANTT,AUTOPISTA FERN\'c3O DIAS,"-2,345,775,816,289,000","-4,657,131,495,358,730",AUTOMOVEL,PEDESTRE,ATROPELAMENTO,1
28.12.20,Vias Municipais,28,DEZEMBRO,2020,2020.12,SEGUNDA,10:20:00,MANHA,SAO PAULO,Metropolitana de SAO Paulo,RUA ACAILANDIA,"200,0",MUNICIPAL,PREFEITURA,PREFEITURA,"-23,474,190,984,133,300","-46,562,306,786,509,200",,MOTOCICLETA,OUTROS,1
27.12.20,Rodovias,27,DEZEMBRO,2020,2020.12,DOMINGO,09:29:00,MANHA,SAO PAULO,Metropolitana de SAO Paulo,SP 070,"15,3",ESTADUAL,CONCESSION\'c1RIA-ARTESP,ECOPISTAS,"-23,496,411,162,431,500","-4,652,394,448,049,950",,AUTOMOVEL,CHOQUE,1
27.12.20,NAO DISPONIVEL,27,DEZEMBRO,2020,2020.12,DOMINGO,NAO DISPONIVEL,NAO DISPONIVEL,SAO PAULO,Metropolitana de SAO Paulo,NAO DISPONIVEL,NAO DISPONIVEL,NAO DISPONIVEL,NAO DISPONIVEL,NAO DISPONIVEL,NAO DISPONIVEL,NAO DISPONIVEL,,MOTOCICLETA,NAO DISPONIVEL,1
