municipio,PIB
ADAMANTINA,37073.28
ADOLFO,39658.07
AGUAI,32364.73
AGUAS DA PRATA,23953.84
AGUAS DE LINDOIA,27042.39
AGUAS DE SANTA BARBARA,33809.90
AGUAS DE SAO PEDRO,44194.87
AGUDOS,63966.02
ALAMBARI,21034.07
ALFREDO MARCONDES,27981.88
ALTAIR,27670.73
ALTINOPOLIS,41878.43
ALTO ALEGRE,29079.37
ALUMINIO,125258.23
ALVARES FLORENCE,30971.55
ALVARES MACHADO,25848.70
ALVARO DE CARVALHO,10573.58
ALVINLANDIA,18131.41
AMERICANA,51737.90
AMERICO BRASILIENSE,27229.54
AMERICO DE CAMPOS,19028.00
AMPARO,66292.35
ANALANDIA,40408.85
ANDRADINA,47690.73
ANGATUBA,53886.23
ANHEMBI,23253.65
ANHUMAS,20931.57
APARECIDA,27569.35
APARECIDA D OESTE,37726.75
APIAI,29152.96
ARACARIGUAMA,153427.15
ARACATUBA,43598.61
ARACOIABA DA SERRA,30136.66
ARAMINA,28330.12
ARANDU,29626.21
ARAPEI,16140.34
ARARAQUARA,46924.29
ARARAS,49401.62
ARCO-IRIS,46289.99
AREALVA,29805.76
AREIAS,14781.23
AREIOPOLIS,13547.88
ARIRANHA,103898.51
ARTUR NOGUEIRA,28088.16
ARUJA,85053.67
ASPASIA,22673.50
ASSIS,36834.61
ATIBAIA,53094.64
AURIFLAMA,22476.02
AVAI,74862.51
AVANHANDAVA,40543.10
AVARE,32200.31
BADY BASSITT,28551.60
BALBINOS,16728.51
BALSAMO,28975.37
BANANAL,19143.72
BARAO DE ANTONINA,20403.32
BARBOSA,16396.50
BARIRI,40281.64
BARRA BONITA,39380.87
BARRA DO CHAPEU,26021.61
BARRA DO TURVO,14201.40
BARRETOS,42267.66
BARRINHA,17123.21
BARUERI,193859.72
BASTOS,48189.53
BATATAIS,34635.69
BAURU,41678.12
BEBEDOURO,43407.95
BENTO DE ABREU,70809.73
BERNARDINO DE CAMPOS,27952.37
BERTIOGA,30099.54
BILAC,34275.66
BIRIGUI,30242.92
BIRITIBA MIRIM,30778.15
BOA ESPERANCA DO SUL,24837.48
BOCAINA,19477.35
BOFETE,18500.00
BOITUVA,52113.11
BOM JESUS DOS PERDOES,44859.76
BOM SUCESSO DE ITARARE,16913.06
BORA,84214.13
BORACEIA,94345.52
BORBOREMA,30495.32
BOREBI,26493.57
BOTUCATU,36060.86
BRAGANCA PAULISTA,41415.51
BRAUNA,20850.11
BREJO ALEGRE,21883.29
BRODOWSKI,33622.60
BROTAS,42762.91
BURI,33873.64
BURITAMA,42907.29
BURITIZAL,54313.96
CABRALIA PAULISTA,19017.99
CABREUVA,106380.77
CACAPAVA,50023.03
CACHOEIRA PAULISTA,19730.70
CACONDE,25300.00
CAFELANDIA,35640.81
CAIABU,16569.70
CAIEIRAS,39862.48
CAIUA,15874.74
CAJAMAR,267930.57
CAJATI,54985.93
CAJOBI,16959.19
CAJURU,26963.80
CAMPINA DO MONTE ALEGRE,23597.57
CAMPINAS,55652.63
CAMPO LIMPO PAULISTA,26505.34
CAMPOS DO JORDAO,25467.17
CAMPOS NOVOS PAULISTA,39382.19
CANANEIA,21268.32
CANAS,22305.46
CANDIDO MOTA,46355.26
CANDIDO RODRIGUES,41236.37
CANITAR,31520.09
CAPAO BONITO,24335.45
CAPELA DO ALTO,16521.16
CAPIVARI,44261.61
CARAGUATATUBA,33503.79
CARAPICUIBA,15773.32
CARDOSO,25567.32
CASA BRANCA,35763.44
CASSIA DOS COQUEIROS,102053.44
CASTILHO,56321.20
CATANDUVA,41669.50
CATIGUA,17816.94
CEDRAL,44054.00
CERQUEIRA CESAR,42921.40
CERQUILHO,43251.53
CESARIO LANGE,29756.40
CHARQUEADA,25799.62
CHAVANTES,19480.88
CLEMENTINA,16617.07
COLINA,69997.47
COLOMBIA,62288.46
CONCHAL,31074.69
CONCHAS,22485.31
CORDEIROPOLIS,135186.61
COROADOS,33585.63
CORONEL MACEDO,26241.08
CORUMBATAI,65439.12
COSMOPOLIS,27697.32
COSMORAMA,56248.34
COTIA,56744.63
CRAVINHOS,40913.39
CRISTAIS PAULISTA,33191.61
CRUZALIA,55641.40
CRUZEIRO,33427.86
CUBATAO,123263.87
CUNHA,13715.58
DESCALVADO,57289.41
DIADEMA,37226.43
DIRCE REIS,38124.36
DIVINOLANDIA,31125.22
DOBRADA,14767.88
DOIS CORREGOS,27973.60
DOLCINOPOLIS,25367.28
DOURADO,77009.59
DRACENA,30412.43
DUARTINA,21484.03
DUMONT,29533.85
ECHAPORA,21795.09
ELDORADO,21226.17
ELIAS FAUSTO,49596.57
ELISIARIO,19396.61
EMBAUBA,24892.64
EMBU DAS ARTES,51089.09
EMBU-GUACU,18094.98
EMILIANOPOLIS,22984.85
ENGENHEIRO COELHO,26974.16
ESPIRITO SANTO DO PINHAL,39021.42
ESPIRITO SANTO DO TURVO,19849.17
ESTIVA GERBI,31325.62
ESTRELA DO NORTE,26094.41
ESTRELA D'OESTE,80918.51
EUCLIDES DA CUNHA PAULISTA,13860.56
FARTURA,27382.73
FERNANDO PRESTES,40345.71
FERNANDOPOLIS,34909.25
FERNAO,49076.42
FERRAZ DE VASCONCELOS,20479.57
FLORA RICA,24917.45
FLOREAL,24316.85
FLORIDA PAULISTA,20382.50
FLORINEA,59625.97
FRANCA,28960.57
FRANCISCO MORATO,9875.70
